fips,state,population,Any Other Weapon,Destructive Device,Machinegun,Silencer,Short Barreled Rifle,Short Barreled Shotgun,Total Registrations,Importers,Manufacturers,Dealers,Total Taxpayers,FFL Population,Stand Your Ground,Any Castle Doctrine Expansion,Stand Your Ground Law Effective Date,NICS checks 2010
27,Minnesota,5310658,"2,633","36,066","6,828",619,"1,183","1,011","48,340",3,48,15,66,"2,639",0,0,,"297,390"
28,Mississippi,2970072,410,"6,776","3,886","3,368",572,712,"15,724",4,19,31,54,"1,362",1,1,7/1/2006,"169,873"
29,Missouri,5995715,"1,330","24,986","8,230","4,913","1,864","2,266","43,589",4,58,67,129,"5,990",0,1,8/28/2007,"349,672"
30,Montana,990958,404,"2,852","1,892","2,303",497,345,"8,293",1,16,28,45,"1,423",1,1,4/27/2009,"101,095"
31,Nebraska,1830141,717,"5,068","2,049","2,273",895,768,"11,770",0,9,14,23,"1,085",0,0,,"58,283"
32,Nevada,2704283,679,"30,778","6,843","6,671","2,621",767,"48,359",2,39,43,84,"1,188",0,0,,"104,789"
33,New Hampshire,1316807,430,"3,459","9,863","2,782","1,457",385,"18,376",6,29,31,66,"1,018",1,1,11/13/2011,"79,940"
34,New Jersey,8799593,425,"37,700","6,895",965,688,"2,316","48,989",1,4,17,22,481,0,0,,"50,522"
35,New Mexico,2065913,277,"60,764","3,709","2,920","1,094",607,"69,371",4,17,30,51,"1,026",0,0,,"109,069"
36,New York,19395206,"2,012","35,707","7,521","1,153","1,370","7,342","55,105",1,28,12,41,"3,774",0,0,,"241,495"
37,North Carolina,9560234,820,"69,005","11,234","8,609","2,850","2,542","95,060",6,70,85,161,"3,966",0,0,,"331,637"
38,North Dakota,674629,199,"1,605","1,480","1,826",260,211,"5,581",0,3,6,9,611,0,1,8/1/2007,"47,083"
39,Ohio,11537968,"1,776","71,814","18,013","10,407","2,842","3,822","108,574",2,80,104,186,"4,446",0,1,9/9/2008,"393,250"
40,Oklahoma,3760184,"1,110","13,004","7,972","11,964","1,787","1,470","37,307",2,37,61,100,"2,189",1,1,11/1/2006,"233,909"
41,Oregon,3838332,"1,487","17,492","6,442","9,841","2,346","1,309","38,917",2,71,65,138,"2,376",0,0,,"184,835"
42,Pennsylvania,12717722,"2,043","148,700","17,384","12,914","3,853","12,323","197,217",7,79,112,198,"5,649",0,0,,"626,677"
44,Rhode Island,1052528,42,"2,710",595,27,106,112,"3,592",1,1,2,4,452,0,0,,"14,835"
45,South Carolina,4637106,670,"26,358","6,010","7,457","1,380","3,655","45,530",4,30,27,61,"1,899",1,1,6/9/2006,"201,628"
46,South Dakota,816598,344,"3,352","1,495","2,022",264,175,"7,652",0,10,20,30,691,1,1,7/1/2006,"63,151"
47,Tennessee,6357436,"1,502","32,848","13,442","9,571","2,623","5,538","65,524",5,52,65,122,"3,086",1,1,5/22/2007,"411,024"
48,Texas,25253466,"6,169","159,805","28,690","47,712","9,271","6,557","258,204",14,167,296,477,"8,912",1,1,9/1/2007,"968,071"
49,Utah,2775479,403,"13,960","6,076","5,857","1,927","1,160","29,383",3,35,20,58,"1,071",1,1,3/2/1994,"553,134"
50,Vermont,625909,221,"2,216","1,070",68,134,94,"3,803",4,13,7,24,538,0,0,,"24,276"
51,Virginia,8023953,"2,514","161,841","30,220","15,736","6,720","6,272","223,303",19,61,97,177,"3,813",0,0,,"320,783"
53,Washington,6742950,"1,726","34,693","3,805","8,400","1,174",752,"50,550",6,44,28,78,"2,529",0,0,,"335,342"
54,West Virginia,1854368,431,"8,318","2,438","2,325",682,548,"14,742",3,18,26,47,"1,337",1,1,2/28/2008,"159,550"
55,Wisconsin,5691659,747,"25,316","6,385","4,416","1,419","1,106","39,389",2,45,40,87,"2,830",0,0,,"194,797"
56,Wyoming,564554,286,"102,723","1,659","1,103",369,373,"106,513",1,7,17,25,770,0,1,7/1/2008,"47,709"
